Insurance Policy,,,,,,,Managed by : Luke T. Lawson,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
INS-POL-265391,21-12-2022,21-Dec-25,20,21-Dec-22,CUST-483592,13937.62,304.50,Annually,No,6619.97,56.38,AGT-6578,December,Q4,2022,21-Dec-23,CLM-230620,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-317255,08-03-2024,08-Mar-24,20,27-Mar-25,CUST-578791,5800.83,1171.27,Annually,Yes,1823.29,106.01,AGT-6578,March,Q1,2025,27-Mar-26,CLM-282969,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-708480,25-01-2024,25-Jan-25,20,25-Jan-24,CUST-541231,18464.76,629.16,Monthly,Yes,5584.94,48.67,AGT-6578,January,Q1,2024,25-Jan-25,CLM-345343,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-563468,22-12-2023,22-Dec-25,20,22-Dec-23,CUST-757235,5786.46,1088.87,Annually,Yes,3267.58,103.09,AGT-6578,December,Q4,2023,22-Dec-24,CLM-857484,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-799138,09-06-2017,09-Jun-25,20,09-Jun-17,CUST-221834,22178.16,1105.64,Quarterly,No,8556.98,63.17,AGT-6578,June,Q2,2017,09-Jun-18,CLM-980073,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-815347,19-01-2024,19-Jan-25,20,19-Jan-24,CUST-441301,19428.95,628.41,Annually,Yes,6038.81,37.76,AGT-6578,January,Q1,2024,19-Jan-25,CLM-870328,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-161147,08-03-2024,08-Mar-24,20,20-Apr-25,CUST-114960,11234.60,122.66,Quarterly,No,5615.66,59.85,AGT-6578,April,Q2,2025,20-Apr-26,CLM-729784,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-765871,12-05-2021,12-May-25,20,12-May-21,CUST-360696,20768.74,331.33,Quarterly,Yes,8347.54,9.72,AGT-6578,May,Q2,2021,12-May-22,CLM-422721,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-493539,30-11-2022,30-Nov-25,20,30-Nov-22,CUST-792550,18358.87,500.18,Monthly,Yes,9633.35,70.48,AGT-6578,November,Q4,2022,30-Nov-23,CLM-634510,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-401974,10-08-2024,10-Aug-25,20,10-Aug-24,CUST-563155,3748.72,1103.65,Annually,No,1464.88,78.51,AGT-6578,August,Q3,2024,10-Aug-25,CLM-749597,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-134056,11-05-2019,11-May-25,20,11-May-19,CUST-110706,18744.68,813.33,Annually,No,5723.25,84.98,AGT-6578,May,Q2,2019,11-May-20,CLM-965387,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-746555,15-02-2021,15-Feb-25,20,15-Feb-21,CUST-876796,5921.68,444.87,Quarterly,Yes,2264.25,71.12,AGT-6578,February,Q1,2021,15-Feb-22,CLM-395854,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-110143,31-07-2020,31-Jul-25,20,31-Jul-20,CUST-416715,23465.63,582.82,Quarterly,No,9022.99,40.66,AGT-6578,July,Q3,2020,31-Jul-21,CLM-174788,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-742236,25-05-2017,25-May-25,20,25-May-17,CUST-964599,13768.95,646.64,Quarterly,Yes,8080.86,32.47,AGT-6578,May,Q2,2017,25-May-18,CLM-986572,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-660097,06-04-2022,06-Apr-25,20,06-Apr-22,CUST-733480,6005.98,946.19,Annually,Yes,2450.09,55.54,AGT-6578,April,Q2,2022,06-Apr-23,CLM-405702,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-893525,09-11-2016,09-Nov-25,20,09-Nov-16,CUST-639875,20080.10,1069.17,Quarterly,Yes,8926.62,26.30,AGT-6578,November,Q4,2016,09-Nov-17,CLM-143513,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-128995,08-03-2024,08-Mar-24,20,30-Jan-25,CUST-970642,5972.21,70.28,Annually,No,1987.60,7.44,AGT-6578,January,Q1,2025,30-Jan-26,CLM-278077,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-131615,07-05-2021,07-May-25,20,07-May-21,CUST-322698,4741.54,1005.58,Annually,No,1648.64,38.38,AGT-6578,May,Q2,2021,07-May-22,CLM-245856,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-853945,15-05-2023,15-May-25,20,15-May-23,CUST-398154,15734.75,111.09,Monthly,No,5244.27,30.28,AGT-6578,May,Q2,2023,15-May-24,CLM-680242,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-238857,10-11-2021,10-Nov-25,20,10-Nov-21,CUST-506622,10367.00,643.25,Quarterly,Yes,5586.39,90.97,AGT-6578,November,Q4,2021,10-Nov-22,CLM-949943,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-457973,25-04-2017,25-Apr-25,20,25-Apr-17,CUST-695399,11076.87,904.35,Quarterly,Yes,5304.40,69.99,AGT-6578,April,Q2,2017,25-Apr-18,CLM-121752,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-289467,03-09-2021,03-Sep-25,20,03-Sep-21,CUST-511838,13566.98,540.81,Annually,No,7614.33,106.30,AGT-6578,September,Q3,2021,03-Sep-22,CLM-586106,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-923733,25-11-2020,25-Nov-25,20,25-Nov-20,CUST-154959,18938.66,162.91,Monthly,No,8471.36,108.80,AGT-6578,November,Q4,2020,25-Nov-21,CLM-563741,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-632071,09-05-2017,09-May-25,20,09-May-17,CUST-288084,15444.82,1100.40,Annually,Yes,5988.28,39.09,AGT-6578,May,Q2,2017,09-May-18,CLM-740017,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-714875,02-07-2024,02-Jul-25,20,02-Jul-24,CUST-243562,11330.62,173.26,Monthly,No,4773.97,60.65,AGT-6578,July,Q3,2024,02-Jul-25,CLM-867518,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-221108,27-10-2021,27-Oct-25,20,27-Oct-21,CUST-135050,21223.94,660.96,Monthly,No,8127.33,10.67,AGT-6578,October,Q4,2021,27-Oct-22,CLM-822796,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-496123,05-05-2017,05-May-25,20,05-May-17,CUST-763824,14304.41,1006.59,Quarterly,No,7003.80,12.79,AGT-6578,May,Q2,2017,05-May-18,CLM-367736,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-712881,06-03-2018,06-Mar-25,20,06-Mar-18,CUST-504196,13856.63,931.42,Quarterly,Yes,8159.92,67.49,AGT-6578,March,Q1,2018,06-Mar-19,CLM-457308,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-503524,07-09-2020,07-Sep-25,20,07-Sep-20,CUST-602128,10218.70,235.76,Quarterly,No,5541.25,52.22,AGT-6578,September,Q3,2020,07-Sep-21,CLM-310879,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-998927,13-03-2018,13-Mar-25,20,13-Mar-18,CUST-600474,3539.08,714.56,Quarterly,Yes,1455.48,112.53,AGT-6578,March,Q1,2018,13-Mar-19,CLM-706716,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-854397,05-09-2017,05-Sep-25,20,05-Sep-17,CUST-822675,9845.12,817.39,Monthly,No,4783.35,57.14,AGT-6578,September,Q3,2017,05-Sep-18,CLM-307372,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-682704,18-04-2022,18-Apr-25,20,18-Apr-22,CUST-307402,7758.06,277.00,Monthly,Yes,3492.70,8.35,AGT-6578,April,Q2,2022,18-Apr-23,CLM-711320,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-301196,25-04-2023,25-Apr-25,20,25-Apr-23,CUST-242681,16309.66,902.04,Monthly,No,6896.43,44.63,AGT-6578,April,Q2,2023,25-Apr-24,CLM-777235,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-209664,26-05-2023,26-May-25,20,26-May-23,CUST-299030,19584.53,479.51,Annually,Yes,6988.10,90.71,AGT-6578,May,Q2,2023,26-May-24,CLM-639923,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-701067,12-03-2024,12-Mar-25,20,12-Mar-24,CUST-121377,6951.98,224.24,Quarterly,Yes,3251.15,116.72,AGT-6578,March,Q1,2024,12-Mar-25,CLM-652187,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-815418,29-01-2020,29-Jan-25,20,29-Jan-20,CUST-614619,8210.85,212.01,Monthly,No,3959.32,34.87,AGT-6578,January,Q1,2020,29-Jan-21,CLM-957885,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-232557,18-06-2016,18-Jun-25,20,18-Jun-16,CUST-322262,10691.48,404.78,Annually,Yes,4870.09,88.06,AGT-6578,June,Q2,2016,18-Jun-17,CLM-287969,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-507409,29-09-2015,29-Sep-25,20,29-Sep-15,CUST-812035,13179.31,917.09,Annually,Yes,4729.10,110.16,AGT-6578,September,Q3,2015,29-Sep-16,CLM-159263,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-572196,22-09-2024,22-Sep-25,20,22-Sep-24,CUST-615104,23170.05,621.81,Annually,No,13561.98,85.13,AGT-6578,September,Q3,2024,22-Sep-25,CLM-727579,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-852612,09-03-2019,09-Mar-25,20,09-Mar-19,CUST-277506,15761.91,193.74,Quarterly,Yes,7275.51,74.09,AGT-6578,March,Q1,2019,09-Mar-20,CLM-562844,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-410482,24-09-2017,24-Sep-25,20,24-Sep-17,CUST-533539,9771.24,457.71,Annually,No,3965.02,42.87,AGT-6578,September,Q3,2017,24-Sep-18,CLM-398089,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-643486,02-06-2018,02-Jun-25,20,02-Jun-18,CUST-707164,6291.62,779.25,Monthly,No,2431.96,102.33,AGT-6578,June,Q2,2018,02-Jun-19,CLM-182212,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-126928,02-03-2022,02-Mar-25,20,02-Mar-22,CUST-832793,13287.90,846.13,Monthly,Yes,4390.02,113.08,AGT-6578,March,Q1,2022,02-Mar-23,CLM-233903,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-425291,14-11-2017,14-Nov-25,20,14-Nov-17,CUST-997732,12669.38,311.61,Quarterly,No,7052.10,68.52,AGT-6578,November,Q4,2017,14-Nov-18,CLM-546172,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-647160,27-12-2022,27-Dec-25,20,27-Dec-22,CUST-704420,21419.27,466.55,Quarterly,No,11293.22,85.74,AGT-6578,December,Q4,2022,27-Dec-23,CLM-734331,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-531894,09-11-2017,09-Nov-25,20,09-Nov-17,CUST-354626,22758.07,589.09,Monthly,No,11228.03,28.32,AGT-6578,November,Q4,2017,09-Nov-18,CLM-113735,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-715069,23-12-2015,23-Dec-25,20,23-Dec-15,CUST-213536,14382.76,827.60,Monthly,Yes,4867.21,73.92,AGT-6578,December,Q4,2015,23-Dec-16,CLM-892454,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-469356,15-09-2022,15-Sep-25,20,15-Sep-22,CUST-195155,5438.88,193.72,Quarterly,No,1728.52,74.73,AGT-6578,September,Q3,2022,15-Sep-23,CLM-214521,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-141813,25-05-2023,25-May-25,20,25-May-23,CUST-888562,21183.67,916.15,Quarterly,Yes,6899.86,64.09,AGT-6578,May,Q2,2023,25-May-24,CLM-646084,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-896978,29-05-2018,29-May-25,20,29-May-18,CUST-890873,1911.33,1063.15,Monthly,Yes,637.58,108.29,AGT-6578,May,Q2,2018,29-May-19,CLM-732727,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-191326,18-02-2020,18-Feb-25,20,18-Feb-20,CUST-464208,2166.31,607.30,Quarterly,Yes,692.93,56.22,AGT-6578,February,Q1,2020,18-Feb-21,CLM-584821,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-838425,30-07-2024,30-Jul-25,20,30-Jul-24,CUST-406991,11599.42,225.34,Annually,No,6338.62,31.85,AGT-6578,July,Q3,2024,30-Jul-25,CLM-828377,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-782665,17-10-2018,17-Oct-25,20,17-Oct-18,CUST-832953,14596.18,767.51,Quarterly,No,7847.22,50.04,AGT-6578,October,Q4,2018,17-Oct-19,CLM-184647,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-219261,25-07-2024,25-Jul-25,20,25-Jul-24,CUST-804855,6132.04,668.75,Quarterly,Yes,2468.00,20.99,AGT-6578,July,Q3,2024,25-Jul-25,CLM-736686,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-879695,14-03-2024,14-Mar-25,20,14-Mar-24,CUST-913880,10133.51,485.53,Quarterly,No,3909.75,64.99,AGT-6578,March,Q1,2024,14-Mar-25,CLM-863167,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-434881,18-06-2018,18-Jun-25,20,18-Jun-18,CUST-944474,12268.43,101.19,Quarterly,Yes,5447.32,81.93,AGT-6578,June,Q2,2018,18-Jun-19,CLM-407519,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-197803,20-02-2018,20-Feb-25,20,20-Feb-18,CUST-556626,7255.26,668.89,Monthly,No,2982.38,94.54,AGT-6578,February,Q1,2018,20-Feb-19,CLM-396329,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-271019,01-08-2022,01-Aug-25,20,01-Aug-22,CUST-678002,16165.12,149.57,Annually,Yes,8524.80,6.22,AGT-6578,August,Q3,2022,01-Aug-23,CLM-624379,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-924287,23-02-2023,23-Feb-25,20,23-Feb-23,CUST-496071,4846.12,320.58,Monthly,No,1677.56,88.51,AGT-6578,February,Q1,2023,23-Feb-24,CLM-386203,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-581492,02-11-2022,02-Nov-25,20,02-Nov-22,CUST-640067,23340.90,73.83,Quarterly,Yes,10373.43,23.24,AGT-6578,November,Q4,2022,02-Nov-23,CLM-619783,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-614595,07-02-2019,07-Feb-25,20,07-Feb-19,CUST-269436,15661.43,484.29,Monthly,Yes,5048.59,51.41,AGT-6578,February,Q1,2019,07-Feb-20,CLM-252498,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-410300,08-11-2017,08-Nov-25,20,08-Nov-17,CUST-377918,21728.88,176.83,Quarterly,Yes,12107.27,66.53,AGT-6578,November,Q4,2017,08-Nov-18,CLM-366719,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-665183,11-05-2017,11-May-25,20,11-May-17,CUST-683201,20325.29,71.48,Quarterly,No,11245.81,81.40,AGT-6578,May,Q2,2017,11-May-18,CLM-478194,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-413725,03-09-2020,03-Sep-25,20,03-Sep-20,CUST-161547,9553.19,852.82,Annually,Yes,3746.22,15.06,AGT-6578,September,Q3,2020,03-Sep-21,CLM-931621,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-903963,17-11-2021,17-Nov-25,20,17-Nov-21,CUST-495441,18764.03,809.89,Monthly,No,6333.31,55.34,AGT-6578,November,Q4,2021,17-Nov-22,CLM-996362,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-397700,02-10-2018,02-Oct-25,20,02-Oct-18,CUST-582376,9719.96,82.15,Quarterly,No,4360.27,11.54,AGT-6578,October,Q4,2018,02-Oct-19,CLM-448018,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-375639,04-11-2018,04-Nov-25,20,04-Nov-18,CUST-530564,18643.93,111.75,Monthly,No,10228.57,47.58,AGT-6578,November,Q4,2018,04-Nov-19,CLM-422436,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-940635,22-07-2017,22-Jul-25,20,22-Jul-17,CUST-712309,19853.16,402.55,Monthly,Yes,6764.05,49.11,AGT-6578,July,Q3,2017,22-Jul-18,CLM-533059,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-844660,15-02-2017,15-Feb-25,20,15-Feb-17,CUST-229952,11880.82,89.06,Quarterly,No,7001.17,6.98,AGT-6578,February,Q1,2017,15-Feb-18,CLM-112370,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-833442,02-12-2024,02-Dec-25,20,02-Dec-24,CUST-492913,22304.59,337.38,Quarterly,Yes,6917.13,5.90,AGT-6578,December,Q4,2024,02-Dec-25,CLM-560503,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-929730,02-06-2018,02-Jun-25,20,02-Jun-18,CUST-894944,4077.72,1007.26,Quarterly,Yes,2375.68,25.25,AGT-6578,June,Q2,2018,02-Jun-19,CLM-995059,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-147673,09-10-2015,09-Oct-25,20,09-Oct-15,CUST-795389,9998.66,310.78,Monthly,No,5611.13,7.86,AGT-6578,October,Q4,2015,09-Oct-16,CLM-205645,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-875061,29-07-2023,29-Jul-25,20,29-Jul-23,CUST-338462,7394.36,140.29,Monthly,Yes,3839.25,22.20,AGT-6578,July,Q3,2023,29-Jul-24,CLM-727897,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-553766,06-07-2021,06-Jul-25,20,06-Jul-21,CUST-955394,20359.90,911.90,Annually,Yes,11345.53,89.11,AGT-6578,July,Q3,2021,06-Jul-22,CLM-612870,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-366593,17-03-2020,17-Mar-25,20,17-Mar-20,CUST-747386,1932.03,629.39,Annually,Yes,971.46,62.40,AGT-6578,March,Q1,2020,17-Mar-21,CLM-794795,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-461520,06-04-2022,06-Apr-25,20,06-Apr-22,CUST-587883,21231.23,995.99,Annually,No,11564.65,65.19,AGT-6578,April,Q2,2022,06-Apr-23,CLM-226596,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-816686,15-04-2020,15-Apr-25,20,15-Apr-20,CUST-533605,20706.43,756.76,Monthly,Yes,8001.12,6.10,AGT-6578,April,Q2,2020,15-Apr-21,CLM-122908,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-102322,15-06-2024,15-Jun-25,20,15-Jun-24,CUST-906194,3098.43,390.95,Annually,Yes,1386.44,40.40,AGT-6578,June,Q2,2024,15-Jun-25,CLM-112921,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-135871,04-05-2023,04-May-25,20,04-May-23,CUST-295717,2735.54,330.22,Annually,Yes,1560.08,7.33,AGT-6578,May,Q2,2023,04-May-24,CLM-798588,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-543765,02-08-2018,02-Aug-25,20,02-Aug-18,CUST-677330,2660.34,492.80,Annually,No,815.04,22.09,AGT-6578,August,Q3,2018,02-Aug-19,CLM-318738,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-355963,18-04-2016,18-Apr-25,20,18-Apr-16,CUST-761715,17997.81,420.89,Annually,Yes,5682.97,42.11,AGT-6578,April,Q2,2016,18-Apr-17,CLM-227041,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
